Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Total persons pending start-year,of which UNHCR-assisted,Applied during year,statistics.filter.decisions_recognized,statistics.filter.decisions_other,Rejected,Otherwise closed,Total decisions,Total persons pending end-year,of which UNHCR-assisted
2016,Colombia,Honduras,G / FI,4,4,0,3,,,1,4,0,0
2016,Colombia,Iraq,G / FI,6,5,0,5,,,,5,1,0
2016,Colombia,Nepal,G / FI,2,0,0,,,,,,2,0
2016,Colombia,Pakistan,G / FI,0,0,5,,,,,,5,5
2016,Colombia,Peru,G / FI,0,0,1,,,,,,1,0
2016,Colombia,Palestinian,G / FI,1,1,0,1,,,,1,0,0
2016,Colombia,El Salvador,G / FI,5,4,0,4,,,,4,1,0
2016,Colombia,Syrian Arab Rep.,G / FI,0,0,5,1,,,,1,4,0
2016,Colombia,Turkey,G / FI,0,0,19,,,,,,19,3
2016,Colombia,Ukraine,G / FI,1,0,0,,,,,,1,0
2016,Colombia,Venezuela (Bolivarian Republic of),G / FI,68,22,316,4,,2,54,60,324,68
2016,Colombia,Venezuela (Bolivarian Republic of),G / AR,5,2,0,,,5,,5,0,0
2016,Colombia,Yemen,G / FI,0,0,1,,,,,,1,1
2017,Colombia,Afghanistan,G / FI,0,0,*,0,0,0,0,,*,0
2017,Colombia,Bolivia (Plurinational State of),G / FI,*,0,0,0,0,0,*,*,*,0
2017,Colombia,Brazil,G / FI,*,0,0,0,0,0,*,*,0,0
2017,Colombia,Cameroon,G / FI,0,0,*,0,0,0,0,,*,0
2017,Colombia,Cuba,G / FI,15,9,24,0,0,0,14,14,25,*
2017,Colombia,Ecuador,G / FI,*,0,0,0,0,0,*,*,*,*
2017,Colombia,Egypt,G / FI,*,*,*,0,0,0,*,*,*,*
2017,Colombia,Spain,G / FI,*,0,0,0,0,0,*,*,*,0
2017,Colombia,Ghana,G / FI,*,0,0,0,0,0,*,*,0,0
2017,Colombia,Gambia,G / FI,0,0,*,0,0,0,0,,*,*
2017,Colombia,Guinea-Bissau,G / FI,*,0,0,0,0,0,*,*,0,0
2017,Colombia,Iran (Islamic Rep. of),G / FI,0,0,*,0,0,0,0,,*,0
2017,Colombia,Iraq,G / FI,*,0,*,*,0,0,0,*,*,*
2017,Colombia,Libya,G / FI,0,0,*,0,0,0,0,,*,*
2017,Colombia,Nepal,G / FI,*,0,0,0,0,0,*,*,0,0
2017,Colombia,Pakistan,G / FI,5,5,0,0,0,0,0,,5,5
2017,Colombia,Peru,G / FI,*,0,0,0,0,0,0,,*,0
2017,Colombia,Palestinian,G / FI,0,0,*,0,0,0,0,,*,0
2017,Colombia,El Salvador,G / FI,*,0,0,0,0,0,0,,*,0
2017,Colombia,Syrian Arab Rep.,G / FI,*,0,*,0,0,0,*,*,*,*
2017,Colombia,Turkey,G / FI,19,*,7,0,0,0,12,12,14,8
2017,Colombia,Ukraine,G / FI,*,0,0,0,0,0,0,,*,0
2017,Colombia,United States of America,G / FI,0,0,*,0,0,0,*,*,0,0
2017,Colombia,Venezuela (Bolivarian Republic of),G / FI,324,68,575,18,0,7,412,437,462,462
2017,Colombia,Venezuela (Bolivarian Republic of),G / AR,0,0,7,0,0,0,0,,7,0
2017,Colombia,Yemen,G / FI,*,*,6,0,0,0,0,,7,6
2018,Colombia,Afghanistan,G / FI,*,0,0,*,0,0,0,*,*,*
2018,Colombia,Bolivia (Plurinational State of),G / FI,*,0,0,0,0,*,0,*,0,0
2018,Colombia,Brazil,G / FI,0,0,*,0,0,0,*,*,0,0
2018,Colombia,Chile,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Cameroon,G / FI,*,0,*,0,0,0,0,,*,0
2018,Colombia,Dem. Rep. of the Congo,G / FI,0,0,5,0,0,0,5,5,0,0
2018,Colombia,Costa Rica,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Cuba,G / FI,25,*,41,*,0,0,*,5,61,20
2018,Colombia,Germany,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Ecuador,G / FI,*,*,*,0,0,0,*,*,*,*
2018,Colombia,Egypt,G / FI,*,*,0,0,0,0,*,*,0,0
2018,Colombia,Spain,G / FI,*,0,*,0,0,0,*,*,*,0
2018,Colombia,Ghana,G / FI,0,0,*,0,0,0,0,,*,*
2018,Colombia,Gambia,G / FI,*,*,0,0,0,0,*,*,0,0
2018,Colombia,Greece,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Honduras,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Iran (Islamic Rep. of),G / FI,*,0,0,0,0,0,0,,*,0
2018,Colombia,Iraq,G / FI,*,*,0,0,0,0,0,,*,*
2018,Colombia,Rep. of Korea,G / FI,0,0,*,0,0,0,*,*,0,0
2018,Colombia,Liberia,G / FI,0,0,*,0,0,0,0,,*,*
2018,Colombia,Libya,G / FI,*,*,0,0,0,0,0,,*,*
2018,Colombia,Mexico,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Nigeria,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Nicaragua,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Pakistan,G / FI,5,5,0,0,0,0,5,5,0,0
2018,Colombia,Peru,G / FI,*,0,*,0,0,0,*,*,*,0
2018,Colombia,Poland,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Portugal,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Palestinian,G / FI,*,0,*,0,0,0,0,,5,0
2018,Colombia,Russian Federation,G / FI,0,0,*,0,0,0,0,,*,0
2018,Colombia,Saudi Arabia,G / FI,0,0,*,0,0,0,*,*,0,0
2018,Colombia,El Salvador,G / FI,*,0,*,0,0,0,0,,*,0
2018,Colombia,Somalia,G / FI,0,0,*,0,0,0,0,,*,*
2018,Colombia,Syrian Arab Rep.,G / FI,*,*,6,0,0,0,*,*,8,0
2018,Colombia,Turkey,G / FI,14,8,27,0,0,0,5,5,36,7
2018,Colombia,Uganda,G / FI,0,0,*,0,0,0,0,,*,*
2018,Colombia,Ukraine,G / FI,*,0,0,0,0,0,0,,*,0
2018,Colombia,Uruguay,G / FI,0,0,*,0,0,0,0,,*,*
2018,Colombia,Venezuela (Bolivarian Republic of),G / FI,462,462,2592,33,0,*,289,325,2729,683
2018,Colombia,Stateless,G / FI,0,0,*,0,0,0,0,,*,*
2018,Colombia,Yemen,G / FI,7,6,*,0,0,0,*,*,7,6
